ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-7263962,Source1,2,2020-02-14 17:31:00,2020-02-14 19:23:06,33.743164,-117.136496,33.743164,-117.136496,0.0,At Leon Rd - Accident.,Briggs Rd,Homeland,Riverside,CA,92548,US,US/Pacific,KF70,2020-02-14 17:35:00,61.0,61.0,48.0,28.61,10.0,SSW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-7380039,Source1,2,2019-11-12 19:40:00,2019-11-12 20:32:46,34.153962,-118.344962,34.153962,-118.344962,0.0,At CA-134/Ventura Fwy - Accident.,N Pass Ave,Burbank,Los Angeles,CA,91505,US,US/Pacific,KBUR,2019-11-12 19:53:00,63.0,63.0,78.0,29.18,8.0,SSE,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-7057117,Source1,2,2020-06-25 13:02:22,2020-06-25 14:07:20,38.91187,-77.03194,38.91187,-77.03194,0.0,At Rhode Island Ave NW - Accident., 14th St NW,Washington,District of Columbia,DC,20009-4335,US,US/Eastern,KDCA,2020-06-25 12:52:00,85.0,85.0,44.0,29.98,10.0,ESE,6.0,0.0,Partly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5073937,Source1,2,2022-04-28 15:58:50,2022-04-28 16:39:20,30.444025,-91.160454,30.443542,-91.153897,0.392,Slow traffic on LA-73 from S Eugene St to Cole Dr due to accident., Government St,Baton Rouge,East Baton Rouge,LA,70806-5410,US,US/Central,KBTR,2022-04-28 15:53:00,81.0,81.0,24.0,29.93,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5673685,Source1,2,2021-05-23 20:06:18,2021-05-23 23:06:18,29.852681,-95.28078,29.85254,-95.279387,0.084,Incident on LOCKSLEY RD near HANFORD ST Drive with caution., Locksley Rd,Houston,Harris,TX,77078-2117,US,US/Central,KIAH,2021-05-23 19:53:00,75.0,75.0,87.0,29.97,7.0,ESE,9.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5880924,Source1,2,2021-10-22 15:12:14,2021-10-22 16:30:15,36.890527,-76.23552,36.890856,-76.234013,0.086,Incident on NORVIEW AVE near NORVIEW AVE Drive with caution., Norview Ave,Norfolk,Norfolk,VA,23513-2048,US,US/Eastern,KORF,2021-10-22 14:59:00,71.0,71.0,75.0,29.89,9.0,N,5.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7317354,Source1,2,2019-12-16 16:28:00,2019-12-16 17:22:45,34.689998,-118.005399,34.689998,-118.005399,0.0,At 90th St E - Accident., E Avenue J,Lancaster,Los Angeles,CA,93535,US,US/Pacific,KPMD,2019-12-16 16:53:00,42.0,36.0,37.0,27.65,10.0,E,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6994898,Source1,2,2020-06-01 15:45:00,2020-06-01 17:15:36,38.011875,-122.272168,38.011875,-122.272168,0.0,At CA-4 - Accident.,I-80 E,Hercules,Contra Costa,CA,94547,US,US/Pacific,KCCR,2020-06-01 15:53:00,84.0,84.0,26.0,29.88,10.0,NW,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7185576,Source1,1,2020-04-19 08:51:45,2020-04-19 09:20:04,37.75041,-121.57626,37.75041,-121.57626,0.0,At Midway Rd - Accident. Hard shoulder blocked., W Grant Line Rd,Tracy,Alameda,CA,95391-9603,US,US/Pacific,KLVK,2020-04-19 08:53:00,54.0,54.0,77.0,29.66,10.0,WSW,3.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4907610,Source1,2,2022-07-15 21:58:20,2022-07-15 23:20:20,46.038417,-94.869021,46.040696,-94.868844,0.158,Incident on US-71 near COUNTY ROAD 88 Drive with caution., US 71,Long Prairie,Todd,MN,56347-5431,US,US/Central,K14Y,2022-07-15 21:55:00,72.0,72.0,88.0,28.62,10.0,E,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day
A-3858018,Source1,2,2022-11-15 22:23:56.000000000,2022-11-16 01:14:31.000000000,44.885206,-122.920091,44.885263,-122.919675,0.021,A crash has occurred with minimal delay to traffic. Prepare to slow or move over for worker safety. Ramps Affected.,N Santiam Hwy W,Salem,Marion,OR,97317,US,US/Pacific,KSLE,2022-11-15 21:56:00,36.0,36.0,76.0,30.29,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5542643,Source1,2,2021-07-10 21:35:00,2021-07-11 01:33:30,33.87048,-117.742998,33.873028000000005,-117.69028,3.029,Stationary traffic on Riverside Fwy E - CA-91 E from CA-90/Imperial Hwy (CA-91) to Coal Canyon Rd (CA-91) due to accident.,CA-91 E,Anaheim,Orange,CA,92808,US,US/Pacific,KAJO,2021-07-10 21:56:00,73.0,73.0,55.0,29.37,10.0,VAR,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-5214213,Source1,2,2022-05-23 14:53:49.000000000,2022-05-23 17:49:47.000000000,35.902882,-84.15784599999998,35.93802,-84.009231,8.663,Stationary traffic on I-40 E - I-75 N from Campbell Station Rd/Exit 373 (I-40/I-75) to Papermill Dr/Exit 383 (I-40/I-75) due to accident.,I-40 E,Knoxville,Knox,TN,37934,US,US/Eastern,KOQT,2022-05-23 14:53:00,69.0,69.0,93.0,29.07,6.0,CALM,0.0,0.05,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5276069,Source1,2,2022-09-02 08:03:05,2022-09-02 08:40:55,25.760887,-80.39983000000002,25.76104,-80.376211,1.47,Stationary traffic on US-41 S from SW 127th Ave (US-41) to FL-985/107th Ave (US-41) due to accident., SW 8th St,Miami,Miami-Dade,FL,33184-1424,US,US/Eastern,KTMB,2022-09-02 07:53:00,79.0,79.0,88.0,29.99,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3729514,Source1,2,2022-04-05 16:39:00.000000,2022-04-05 19:00:41.000000,38.01144003849978,-122.08832859934763,38.01343003849978,-122.09074859934763,0.19,Accident from Arthur Rd to I-680 N., Arthur Rd,Martinez,Contra Costa,CA,94553-1401,US,US/Pacific,KCCR,2022-04-05 16:53:00,74.0,74.0,25.0,30.04,10.0,NNW,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4628615,Source1,2,2023-01-25 22:54:10,2023-01-26 00:12:10,36.33844972,-94.18234706,36.35277972,-94.17875706,1.01,Incident on I-49 NB near I-49 Expect long delays.,I-49,Rogers,Benton,AR,72758,US,US/Central,KROG,2023-01-25 22:58:00,30.0,20.0,79.0,28.62,10.0,NW,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6342711,Source1,2,2021-01-28 01:19:00,2021-01-28 04:05:06,43.00208,-83.756383,43.000397,-83.75634699999998,0.116,Incident on ALGONAC DR near CORUNNA RD Drive with caution., Algonac Dr,Flint,Genesee,MI,48532-4504,US,US/Eastern,KFNT,2021-01-28 00:53:00,20.0,10.0,60.0,29.56,10.0,N,8.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3689953,Source1,2,2023-03-22 08:32:02,2023-03-22 10:42:30,42.78643727,-74.01342273,42.78907727,-74.01985273,0.374,NYSTA - Statewide Ops.: crash on the off ramp on I-90 - NYS Thruway eastbound at Before Exit 25A (I-90) - Schenectady (I-88) starting 8:32 AM 03/22/2023 [CARS CAD-230810066],I-90 W,Schenectady,Schenectady,NY,12306,US,US/Eastern,KSCH,2023-03-22 08:45:00,36.0,31.0,60.0,29.98,15.0,NE,6.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6269826,Source1,2,2021-03-03 11:00:30,2021-03-03 11:26:30,33.562094,-117.672904,33.54479,-117.673452,1.196,Stationary traffic on San Diego Fwy S - I-5 S from Oso Pkwy (I-5) to Avery Pkwy (I-5) due to accident.,I-5 S,Laguna Niguel,Orange,CA,92677,US,US/Pacific,KSNA,2021-03-03 10:53:00,51.0,51.0,80.0,29.85,5.0,SSE,9.0,0.16,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6637531,Source1,2,2020-11-17 03:47:15,2020-11-17 06:47:18,44.762474,-93.033696,44.76798400000001,-93.034286,0.382,Incident on US-52 NB near PINE BEND TRL Drive with caution.,Pine Bend Trl,Rosemount,Dakota,MN,55068,US,US/Central,KLVN,2020-11-17 03:55:00,19.0,13.0,86.0,29.4,10.0,WNW,5.0,0.0,Fair,False,False,False,True,False,False,False,False,False,True,False,False,False,Night,Night,Night,Night
